"web_x","web_y","Locality","An.coluzzii","An.gambiae","Total","elevation"
1243022.05925251,529215.941556694,"Abanda",0,1,1,509.72324002159
1303142.06484503,413115.965625868,"Akak",0,2,2,698.005654532863
1295348.73014719,429851.829231,"Akok",0,2,2,668.693629131268
1286442.32118985,386344.326009911,"Akometam",0,1,1,669.635449956731
1246362.03425031,528098.83891072,"Biabeton",0,2,2,507.691959676439
1246362.08759439,518045.475016189,"Bitang",0,11,11,509.682855718592
1247475.33927047,531450.256099117,"Biyan",0,5,5,485.658526313405
1239682.16738851,514694.605057905,"Bokaga",0,23,23,459.415118113153
1253042.00820702,521396.488102023,"Bouia I",0,1,1,480.8006449594
1261948.59328795,521396.535680941,"Boura II",0,26,26,456.937181543024
1257495.31240043,519162.510862339,"Bouraka",0,12,12,461.774192391437
1258608.64723784,516928.579288341,"Boyambesse",0,25,25,466.383912470956
1255268.6247751,526981.782438544,"Donenkeng",0,14,14,483.29517250304
1249702.5139259,422041.186916136,"Ebuba I",0,21,21,716.46057618246
1293122.07851227,430967.649774017,"Ebolmadzom",0,10,10,673.087465370259
1283102.35575329,385228.981718245,"Ekombitiu",0,1,1,677.244284788042
1245249.09903932,449938.588067627,"Eling-Ndoum",0,2,2,596.759363272703
1240795.47273774,518045.445356828,"Gah-Bape",0,5,5,478.056887677276
1241908.77207385,522513.452732473,"Gbaram",0,7,7,504.236520946328
1251928.7027681,518045.504629948,"Goufan I",0,5,5,494.954041430004
1250815.35615624,522513.500560799,"Goufan II",0,20,20,476.687390461463
1263322.84247098,428811.633606875,"Kala",0,2,2,837.563663553384
1237455.38373373,540388.015325463,"Kalong",0,9,9,542.40215973218
1231889.45604636,396382.620975031,"Kaya",0,16,16,665.016946091423
1244135.41208756,523630.504992722,"Kiki",0,2,2,510.198797200417
1244135.36418148,532567.407363883,"Lapouang",0,4,4,504.268215668073
1248589.35029859,382998.219593429,"Lepse",0,2,2,678.704011924492
1243022.61458348,413115.71236573,"Lindoi",0,37,37,692.182242634383
1230776.13338827,396382.61642287,"Lissekue",0,2,2,656.284901824619
1249702.46558346,433199.157925494,"Lobo",0,12,12,678.392572881091
1227436.16999093,395267.164732098,"Makak",0,2,2,659.105209933902
1244135.92802376,415347.002063423,"Mambine",0,9,9,708.979830295573
1228549.31764988,436546.71088643,"Mayos",0,6,6,405.445201992686
1236342.59642443,432083.242425886,"Mayos Lissu",0,2,2,603.252938703865
1240795.37704172,535918.99546272,"Mouken",0,1,1,553.125024922981
1257495.75539369,426504.252652387,"Nden",0,2,2,763.251119575116
1289782.09384932,434315.204991517,"Ngona 3",0,2,2,707.031301905532
1273082.38989455,399729.176892679,"Nkoabu",0,3,3,694.314756095943
1255269.04079059,442126.511987176,"Nkolmulen",0,2,2,581.833917454416
1280875.69631317,388575.001902274,"Nkolngue",0,2,2,659.459473783801
1267515.64840611,429851.707508458,"Nkolnkoumou",0,41,41,768.96366212099
1247475.72950882,453286.856244464,"Nkolpoblo",0,1,1,581.526171957563
1256382.36378744,442126.517031191,"Nkolyem",0,1,1,572.574846201932
1231889.41962754,405306.564575244,"Nkong-Nkeni",0,7,7,704.468620228064
1237455.97233902,419809.695779903,"Nkongtock I",0,1,1,676.105390470145
1226322.84738512,395267.160187206,"Nkongui",0,5,5,656.50388552297
1249702.56563803,409768.907694183,"Nkuimakong",0,3,3,694.28085279089
1251929.03659225,449938.618929098,"Nyumuyong",0,8,8,568.961160356158
1258609.07839461,426504.257514916,"Okong",0,4,4,776.025580803549
1244136.05470554,384113.509296619,"Ossou Bikobo",0,3,3,690.309380256926
1224096.01707128,438778.522245967,"Pan-Makak",0,15,15,389.878152371334
1246211.51680367,517134.698699152,"Rionong",0,2,2,496.688449824553
1246742.37672296,517991.9945871,"Roubang",0,5,5,509.682855718592
1251929.21605404,408653.331119247,"Sibekon",0,4,4,698.430664918634
1248589.07791266,447706.500415598,"Voua II",0,2,2,619.898827153415
1253042.02584085,518045.510547224,"Wasse",0,1,1,487.339869273069
1243022.13621012,514694.622749051,"Yaken",0,29,29,477.305146640065
1278648.99674647,401960.186363436,"Zoatoupsi",0,7,7,702.424024770137
1300915.41788689,413115.956321716,"Abembe",0,1,1,700.162771515097
1250815.79827182,430967.463783673,"Akak",0,6,6,689.451992607614
1298688.73373079,422041.397675503,"Akom",0,8,8,700.306446440684
1258609.07357862,427620.048043817,"Angala",0,17,17,734.468362777136
1264175.7268947,418694.11084002,"Angon",0,10,10,731.278337374837
1259722.42053971,422041.230260456,"Angongo",0,2,2,724.315659052162
1255268.93317339,465564.913563618,"Ebeba",0,1,1,502.182147387452
1265288.98763336,433199.227081686,"Ekekam",0,1,1,810.480621798494
1289782.19305538,410884.674214333,"Ekok 2",0,3,3,685.758184025314
1259722.32786214,443242.508849608,"Eligyen",0,3,3,610.957245068473
1298688.75245476,417578.57022292,"Endoum",0,2,2,698.8184489301
1298688.67149549,436547.023963084,"Essabi",0,2,2,775.204799546039
1283102.14410117,436546.954918679,"Etoudi",2,6,8,735.888716103086
1257495.65156769,449938.644603414,"Evian",0,19,19,558.88592237904
1264175.68395881,428735.87606379,"Kala",0,6,6,827.381307345251
1278648.98317113,405306.758787525,"Koulboa",0,11,11,706.943810453327
1273082.23002074,437662.819965963,"Leboudi",8,3,11,778.587976634648
1263062.29204707,444358.514284507,"Lengon",0,5,5,608.125373130249
1259722.35762221,436546.850785641,"Lewobgui",0,10,10,656.941983357181
1274195.62078609,422041.292656205,"Mbadoumou",0,1,1,711.338279849684
1254155.77681017,428735.832085335,"Mefomo",0,2,2,715.151617336252
1280875.56007843,422041.321369378,"Mekak",4,1,5,714.374293771152
1294235.39227199,433199.354720042,"Melen",0,3,3,662.107763402264
1258609.1211693,416462.725412585,"Mesok 2",0,9,9,711.151348254802
1304255.41571058,406422.413235129,"Messeng",0,10,10,686.122525310283
1285328.74122326,447706.668451096,"Meyos",0,2,2,634.874001480259
1295348.79609339,414231.569773133,"Mfou",0,1,1,699.336202261941
1304255.28901572,436547.048548491,"Minkomilala",0,7,7,745.691603346186
1274195.51349099,446590.586429409,"Missole",0,8,8,706.988553235544
1259722.2874731,452170.813247645,"Mva`a",2,18,20,580.052022597054
1293122.18138038,406422.367425981,"Ndziefidi",0,5,5,681.286439863781
1298688.69087005,432083.51756841,"Ngalan.centre",0,2,2,728.864926499025
1288668.71629586,446590.652193689,"Ngali 1",0,4,4,636.719135133377
1271969.01661814,412000.210992452,"Ngoumou",0,1,1,724.255302803285
1274195.57277172,433199.266465124,"Nkolafeme",0,1,1,753.217180081236
1259722.45819587,413115.783141925,"Nkolbibanda",0,3,3,754.801992012886
1267515.58946945,443242.544170427,"Nkolfeb",2,2,4,708.233528126264
1288668.76074608,436546.979612104,"Nkolfoulou",0,8,8,707.749399726427
1263062.3218554,437662.775181566,"Nkolmeyang",0,10,10,754.316449866527
1284215.59481624,406422.330675234,"Nkolndan",0,2,2,680.059979699441
1275308.8063965,453286.985333139,"Nkolndobo",0,3,3,655.588789563928
1269742.36572721,413115.825450447,"Nkolngok",0,8,8,719.830782109696
1278648.95568111,412000.239039033,"Nkolnguet",0,1,1,708.032366657424
1285328.7160027,453287.031560424,"Nkometou 3",0,16,16,606.795278361655
1274195.68589054,406422.289220849,"Nkongndougou 2",0,2,2,715.825143494513
1261948.94377548,449938.665114329,"Nkongzok",0,8,8,574.010220817301
1280875.41763068,454403.125054351,"Nto",0,11,11,627.083284651717
