"","SurveyNumber","FieldNumber","qpcr_a","qpcr_b","qpcr_c","toeclip_extracted","swab_extracted","successful culture?","dayCaptured","monthCaptured","yearCaptured","Taxon","Site","SVL_mm","Mass_g","TissueTaken","Sex","Lifestage","Latitude","Longitude","Elevation_feet","Elevation_m","Locality","Site_name","Capture_time","Comments","picture","max_temp_daily","min_temp_daily","mean_temp_at_hour","mean_rel_humidity_at_hour","max_relative_humidity","min_relative_humidity","max_temp_monthly","min_temp_monthly","bay_area_only","other_permit","ZE_1","ZE_2","ZE_3"
"1",1,"1",0.352216303,0.290312141,0.216673598,"y","y","n",5,"May",2019,"Pseudacris_sp","Stunt Ranch","26","13","swab, toeclip, culture",NA,"adult",34.097005,-118.65484,1080,0,"creek","original_creek",NA,NA,NA,22.4,10.4,NA,NA,94,27,NA,NA,0,NA,"28.17730427","23.22497129",17.33388782
"2",1,"2",5.103293896,4.542808533,3.86327672,"y","y","n",5,"May",2019,"Pseudacris_sp","Stunt Ranch","26","6","swab, toeclip, culture",NA,"adult",34.097005,-118.65484,1080,0,"creek","original_creek",NA,NA,NA,22.4,10.4,NA,NA,94,27,NA,NA,0,NA,"408.2635117","363.4246826",309.0621376
"3",1,"3",0,0,0,"y","y","n",5,"May",2019,"Anaxyrus_boreas","Stunt Ranch","72","61","swab, toeclip, culture",NA,"adult",34.097005,-118.65484,1080,0,"creek","original_creek",NA,NA,NA,22.4,10.4,NA,NA,94,27,NA,NA,0,NA,"0","0",0
"4",1,"4",371.5167236,328.1088257,296.7836304,"y","y","n",5,"May",2019,"Pseudacris_sp","Stunt Ranch","33","9.5","swab, toeclip, culture",NA,"adult",34.097005,-118.65484,1080,0,"creek","original_creek",NA,NA,NA,22.4,10.4,NA,NA,94,27,NA,NA,0,NA,"29721.33789","26248.70605",23742.69043
"5",1,"5",0.172660246,0.12009874,0.064971954,"y","y","n",5,"May",2019,"Pseudacris_sp","Stunt Ranch","29.5","7","swab, toeclip, culture",NA,"adult",34.097005,-118.65484,1080,0,"creek","original_creek",NA,NA,NA,22.4,10.4,NA,NA,94,27,NA,NA,0,NA,"13.81281972","9.607899189",5.19775629
"6",1,"6",0.183397278,0.134077802,0.148131788,"y","y","n",5,"May",2019,"Pseudacris_sp","Stunt Ranch","31","5.5","swab, toeclip, culture",NA,"adult",34.097005,-118.65484,1080,0,"creek","original_creek",NA,NA,NA,22.4,10.4,NA,NA,94,27,NA,NA,0,NA,"14.67178226","10.72622418",11.85054302
"7",1,"7",0,0,0,"y","y","n",5,"May",2019,"Pseudacris_sp","Stunt Ranch","30","8","swab, toeclip, culture",NA,"adult",34.097005,-118.65484,1080,0,"creek","original_creek",NA,NA,NA,22.4,10.4,NA,NA,94,27,NA,NA,0,NA,"0","0",0
"8",1,"8",0.022521652,0.074601851,0.066265374,"y","y","n",5,"May",2019,"Pseudacris_sp","Stunt Ranch","31","6.5","swab, toeclip, culture",NA,"adult",34.097005,-118.65484,1080,0,"creek","original_creek",NA,NA,NA,22.4,10.4,NA,NA,94,27,NA,NA,0,NA,"1.801732183","5.968148112",5.301229954
"9",1,"9",NA,NA,NA,"n","n","n",5,"May",2019,"Pseudacris_sp","Stunt Ranch",NA,NA,NA,NA,NA,34.097005,-118.65484,1080,0,"creek","original_creek",NA,"released - mating pair",NA,22.4,10.4,NA,NA,94,27,NA,NA,0,NA,"0","0",0
"10",1,"10",NA,NA,NA,"n","n","n",5,"May",2019,"Pseudacris_sp","Stunt Ranch",NA,NA,NA,NA,NA,34.097005,-118.65484,1080,0,"creek","original_creek",NA,"released - mating pair",NA,22.4,10.4,NA,NA,94,27,NA,NA,0,NA,"0","0",0
